MasterID DateMean
I0626 3850
I0627 3949
I1137 3758
I1859 3762
I2497 1950
I2731 3684
I4451 2260
I0626 3850
I0627 3949
I0944 3820
I1135 3715
I1137 3758
I1781 3832
I1782 4163
I1787 4023
I1788 3947
I1789 4082
I1790 3994
I1792 4254
I1793 4038
I1859 3762
I2085 3881
I2087 4051
I2116 3916
I2121 4079
I2122 4023
I2123 4211
I2125 4011
I2128 4056
I2497 1950
I2731 3684
I2922 4043
I2927 4447
I2928 4625
I2960 825
I3374 3966
I3448 3700
I3456 2994
I3807 400
I3981 1450
I4055 1650
I4246 4209
I4451 2260
I7179 3725
I7180 3725
I7182 3725
I7184 3725
I7186 5713
I7187 6044
I7188 5610
I7189 5526
I7191 5657
I7192 5552
I7193 5621
I7194 5527
I7207 4370
I7208 4324
I7209 4269
I7579 3349
I7580 3087
I7271 4200
I7278 4333
I7041 4000
I7043 4011
I7282 4200
I7283 4200
I7289 4289
I7210 4071
I7212 4247
I7214 4200
I6712 4625
I6711 4750
I6714 4479
I6718 3493
I4157 3400
I6707 3432
I6708 4042
I6709 3234
I6788 3674
I6789 3732
I6790 3695
I6791 3674
I6792 3724
I6793 3631
I6794 3715
I6795 3642
I6796 3761
I6797 3695
I6799 3715
I6800 3656
I7101 4050
I7102 3850
I7170 3850
I7171 4050
I7411 3542
I7173 4050
I7412 3642
I7414 3925
I7416 3824
I7419 3754
I7420 3750
I7421 3790
I7492 3853
I7493 3750
I7494 3875
I7495 3853
I7542 3766
I3023 5300
I4158 3400
I6695 4575
I6696 4575
I6713 4450
I6715 4850
I6716 3571
I6717 3391
I7040 4300
I7042 6086
I7044 4300
I7045 4231
I7195 4250
I7196 4250
I7197 6438
I7198 4026
I7199 4039
I7200 4250
I7201 4250
I7202 4250
I7203 4250
I7205 4200
I7211 4183
I7213 4231
I7249 4011
I7251 4200
I7250 4200
I7269 4200
I7272 5417
I7270 4200
I7275 4200
I7276 4200
I7279 4200
I7280 4200
I7281 4194
I7286 4221
I7287 4200
I7288 4200
I7290 4200
I7554 5182
I7568 3400
I7569 3484
I7570 3569
I7571 3306
I7572 3380
I7573 3520
I7574 3271
I7575 3107
I7576 3039
I7577 3198
I7578 3080
I7626 3231
I7627 3268
I7628 3033
I7630 3734
I7635 4030
I7638 3995
I7639 3797
I7640 3307
I1783 4068
I0719 505
Sope 4442
Ardu1 4652
CabecoArruda117B 5050
I11600 5050
CovaMoura364 4200
CovaMoura9B 4200
DolmenAnsiao96B 5450
LugarCanto41 5950
LugarCanto42 5950
LugarCanto44 5950
LugarCanto45 5950
MonteCanelas337A 4857
MonteGato104 3546
TV32032extra 3550
TV3831 3550
ValeOuro10207 3550
Sanganji131421-3 3177
Sanganji131421-3 3177
Sanganji131464 3280
RISE507.508.merge 5052
Bon001 10032
Bon002 10078
Bon004 10075
Bon005 10220
Tep001 8518
Tep002 8487
Tep003 8419
Tep004 8237
Tep006 8099
HGDP00778 0
HGDP00456 0
HGDP00998 0
HGDP00927 0
HGDP00665 0
HGDP00521 0
A_Dinka-4 0
HGDP01307 0
HGDP01284 0
HGDP01029 0
HGDP00551 0
Ancestor 0
Href 0
Chimp 0
Gorilla 0
Jordan603 0
HGDP00956 0
altai363p 0
BR_Kurumba-1 0
Ayodo_502C 0
HG01503 0
S_Igbo-2 0
Jordan214 0
HG02783 0
S_Naxi-2 0
HGDP00449 0
HGDP01402 0
HGDP00656 0
S_Irula-2 0
HGDP00530 0
HGDP00702 0
HGDP01153 0
HGDP00461 0
HGDP01199 0
HGDP00328 0
HGDP00428 0
HGDP00616 0
HGDP00987 0
HGDP00550 0
HGDP00852 0
HGDP00932 0
IraqiJew4291 0
S_Polish-1 0
T_Sherpa-1 0
HGDP00286 0
HGDP00915 0
HGDP01215 0
HGDP00124 0
HGDP00650 0
HGDP00338 0
HGDP01035 0
HGDP01223 0
HGDP01211 0
HGDP00545 0
S_Itelman-1 0
Ale14 0
HGDP00951 0
Esk29 0
HGDP00569 0
HGDP00552 0
Kusunda15 0
S_Burmese-2 0
S_Relli-1 0
S_Kapu-1 0
HGDP01168 0
HGDP00195 0
HGDP00903 0
S_Kongo-2 0
T_Mada-1 0
HGDP01203 0
HGDP01228 0
HGDP00125 0
T_Bakola-1 0
NA11201 0
S_Dusun-2 0
Cree6 0
T_Mursi-1 0
T_Kaba-2 0
T_Aari-2 0
NA15203 0
S_Tajik-2 0
abh107 0
TGBS21 0
iran17 0
S_Igbo-1 0
S_Yadava-2 0
NA13607 0
HGDP00713 0
T_Hadza-2 0
T_Tikar_South-1 0
T_Ogiek-1 0
ND19394 0
HGDP01312 0
HGDP01297 0
Sir26 0
Nlk3 0
NA15763 0
CHI034 0
HGDP00553 0
DNK11 0
HG03100 0
T_Kikuyu-2 0
S_Brahmin-1 0
S_Quechua-3 0
T_Sengwer-2 0
S_Madiga-1 0
T_Sandawe-1 0
T_Amhara-1 0
T_Laka-1 0
Igorot21 0
HGDP01306 0
S_Punjabi-4 0
S_Finnish-3 0
B_Australian-3 0
mixe0007 0
HGDP01076 0
HGDP00936 0
HGDP01015 0
B_Australian-4 0
HGDP01286 0
HGDP00982 0
HGDP00546 0
HGDP01036 0
HGDP00991 0
NA13616 0
S_Mansi-2 0
HGDP00556 0
HGDP01335 0
Nesk_25 0
HGDP01030 0
Nlk1 0
IraqiJew1771 0
T_Sherpa-2 0
NA15728 0
B_Crete-1 0
HG03006 0
S_Lezgin-2 0
NA17377 0
HGDP01179 0
armenia293 0
Est400 0
HGDP01044 0
HGDP01098 0
HGDP01308 0
NA13604 0
NA19044 0
HG00126 0
Tuba9 0
B_Crete-2 0
T_Tibetan-2 0
S_Irula-1 0
S_Yadava-1 0
T_Bedzan-1 0
S_Igorot-1 0
S_Tajik-1 0
HG00174 0
HG01600 0
T_Aari-1 0
T_Kaba-1 0
HGDP01095 0
CHI007 0
DNK05 0
Ale20 0
S_Eskimo_Sireniki-2 0
HGDP00019 0
HGDP01350 0
HGDP00216 0
HGDP00540 0
HGDP01079 0
HGDP00542 0
HGDP00887 0
HGDP00208 0
HGDP01163 0
T_Elmolo-2 0
T_Baka-1 0
HGDP01315 0
HGDP00783 0
HGDP00773 0
HGDP00157 0
HGDP00090 0
HGDP01365 0
HGDP00027 0
HGDP01198 0
HGDP00796 0
BR_Mala-1 0
HG01846 0
HG00190 0
T_Ogiek-2 0
T_Tikar_South-2 0
S_Relli-2 0
T_Mursi-2 0
T_Bulala-2 0
T_Agaw-2 0
HGDP00775 0
HGDP00533 0
S_Armenian-2 0
S_Mala-3 0
Dusun22 0
Mansi79 0
NAD59 0
NA21490 0
HGDP00548 0
HGDP01333 0
HGDP01034 0
Nesk_22 0
YemeniteJew4695 0
S_Hawaiian-1 0
T_Bakola-2 0
Ayodo_430C 0
S_Turkish-2 0
T_Fulani-1 0
S_Turkish-1 0
HG02790 0
HG02943 0
HG01504 0
T_Ngumba-1 0
T_Rendille-1 0
T_Iraqw-2 0
iran11 0
HGDP00549 0
S_Lemande-1 0
Ale22 0
S_Lemande-2 0
HGDP01417 0
S_Zapotec-2 0
NA17374 0
S_Khomani_San-1 0
NorthOssetia12 0
S_Mixe-2 0
Jordan445 0
YemeniteJew5433 0
T_Tibetan-1 0
HGDP00798 0
HGDP01191 0
S_Mixtec-2 0
HGDP01364 0
HGDP00058 0
HGDP00160 0
HGDP00749 0
HGDP00785 0
HG02724 0
HGDP00722 0
S_Maori-1 0
S_Norwegian-1 0
Ul5 0
HG03078 0
HG02464 0
S_Saharawi-1 0
S_Kyrgyz-2 0
Cree5 0
mg31 0
S_Nahua-2 0
HGDP00846 0
HGDP00541 0
HGDP01032 0
BR_Kashmiri_Pandit-1 0
HGDP01355 0
HGDP01078 0
HGDP00232 0
S_Zapotec-1 0
ch113 0
S_Abkhasian-2 0
HGDP01250 0
Ayodo_81S 0
NA15761 0
HG02574 0
HG03085 0
Ul31 0
S_Saami-1 0
S_Madiga-2 0
Tuba19 0
HG00128 0
NA19023 0
S_Saami-2 0
HGDP01314 0
S_Samaritan-1 0
HGDP00725 0
HGDP01253 0
HGDP00855 0
HGDP01012 0
HGDP01240 0
HGDP00597 0
HGDP00717 0
HGDP00457 0
NA15202 0
T_Mada-2 0
S_Kapu-2 0
BulgarianB4 0
Burm16 0
Ale32 0
HGDP01028 0
HGDP01320 0
HGDP01047 0
T_Iraqw-1 0
T_Rendille-2 0
T_Ngumba-2 0
S_Mixe-3 0
NorthOssetia5 0
HGDP01414 0
HGDP00660 0
HGDP01401 0
HGDP01172 0
HGDP01323 0
HGDP00706 0
HGDP00526 0
HGDP00476 0
HGDP01345 0
T_Bedzan-2 0
T_Laka-2 0
NA11200 0
T_Baka-2 0
HGDP01274 0
HGDP00737 0
BulgarianC1 0
HGDP00928 0
mg27 0
S_Khonda_Dora-1 0
S_Mala-2 0
T_Kikuyu-1 0
T_Agaw-1 0
T_Bulala-1 0
HGDP01242 0
HGDP01018 0
HGDP00857 0
HGDP01338 0
HGDP00554 0
HGDP00543 0
NA21581 0
HGDP00547 0
S_Chukchi-1 0
S_Khomani_San-2 0
S_Japanese-3 0
HGDP00474 0
HGDP00555 0
S_Mixtec-1 0
T_Elmolo-1 0
T_Sengwer-1 0
S_Brahmin-2 0
T_Amhara-2 0
HGDP01246 0
Nlk18 0
S_Saharawi-2 0
S_Kyrgyz-1 0
ALB212 0
NA00726 0
T_Fulani-2 0
Altai 110450
Denisova 63900
I0001 8025
Ust_Ishim 44366
Vindija 50000
Altai 110450
Denisova 63900
I0001 8025
I0018 7168
Ust_Ishim 44366
DNK07 0
HG03007 0
Est375 0
HGDP01188 0
NAD93 0
lez49 0
Kusunda02 0
Avar 0
BI16 0
Bur1 0
Bur2 0
HGDP00877 0
HU103 0
Kor1 0
Kor2 0
Manny 0
Mari 0
TA6 0
Tadjik 0
Tsimshian 0
Y2040 0
XVII-B-939 6502
Chinchorroi15 6242
Enoque65 3542
Yaghan890 100
Yaghan894 100
Yaghan895 100
AM71 100
BC23 500
BC25 500
BC27 500
BC28 500
BC29 500
BC30 500
F9 3200
MA572 100
MA575 100
MA577 100
MOM6 3200
AM66 100
AM72 100
AM73 100
AM74 100
MARC1492 676
I0589 1331
I1048 1357
I2966 8895
I2967 8018
Bar31 8272
Bar8 8064
Klei10 6348
Pal7 6348
Rev5 8316
M240 2125
M344 2125
S40 1500
C1 2775
M63 2125
S10 1500
S35 1500
S41 1500
AH1 9925
AH2 9921
AH4 9918
F38 2833
WC1 9214
BerryAuBac 7237
GoyetQ116-1 35208
Paglicci108 27900
GoyetQ53-1 28051
GoyetQ56-16 26300
Paglicci133 33150
Rigney1 15458
Burkhardtshohle 14620
Rochedane 13027
Iboussieres39 11741
I0156 1981
I0157 1227
I0159 1234
I0160 1973
I0161 1157
I0769 1449
I0773 1479
I0774 1469
I0777 1465
I0789 2163
I1368 2870
I1369 2885
I1370 2945
I1661 6539
I2634 5567
I2636 5397
Falkenstein 9161
GoyetQ-2 15077
Iboussieres25-1 11675
Iboussieres31-2 11675
Rochedane 13027
BerryAuBac 7237
I0070 4000
I0071 4000
I0073 4000
I0074 4000
I9010 3250
I9005 4000
I9006 3283
I9033 3296
I9041 3250
I9123 3305
I9127 3895
I9128 3895
I9129 3895
I9130 3895
I9131 3895
ANI152 6462
ANI153 6434
ANI160 6533
ANI163 6569
I12835 4951
Bul4 4895
Bul6 4450
Bul8 4450
Sk10 2655
merge_ANI159_ANI181 6566
I0001 8025
I2189 3500
I2190 3351
I2195 3372
I2198 3420
I2199 7069
I2200 3500
I2201 2889
I2298 590
I2405 5132
I2416 4239
I2418 4237
I2421 3790
I2427 6326
I2431 6624
I2433 4950
I2434 5050
I2435 4950
I2440 4950
I2441 5050
I2457 4056
I2459 4231
I2460 3875
I2463 3774
I2467 4327
I2472 3428
I2478 4006
I0234 3675
I0126 4610
I0440 4720
I0432 4695
I0442 4350
I0418 3884
I0434 6925
I0433 6561
I0122 6788
I0124 7544
I0233 3475
I0370 4850
I0441 4752
I0444 5003
I0439 5021
I0357 4942
I0429 5074
I0438 4785
I1048 1357
I0576 2750
I0574 2250
I0575 2250
I0563 2300
I0562 2300
I0840 4243
I1310 3650
I1282 4550
I1302 4550
I1276 4550
I1284 4550
I1274 4550
I1280 4550
I1314 4550
I1277 4403
I1272 4595
I1281 4653
I1300 4550
I0843 7858
I0585 7811
I0507 3668
Oase1 38033
I0807 5799
I0559 5530
I0560 5471
I0785 6353
I0781 6404
I1546 4225
I0806 4217
I0805 4252
I0113 4146
I0112 4224
I1530 4222
I0111 4303
I0108 4399
I0462 4405
I0460 4287
I0459 4350
I0457 4500
I0456 4500
I0453 4239
I0455 4737
I0263 4500
I1553 4500
I0825 4346
I0260 4500
I0261 4500
I0823 4500
I0258 4500
I0262 4500
I0257 4439
I0826 4522
I0458 4270
I0171 4118
I0059 4179
I1542 4225
I1536 4225
I1544 4225
I1538 4225
I1539 4420
I1534 4225
I0106 4297
I1540 4225
I1541 4225
I1532 4225
I0049 4295
I0974 1500
I0975 1220
I0211 8450
I0061 8450
I0550 4469
I0041 8505
I0039 3530
I0040 5845
I0797 7125
I0795 7071
I0176 7002
I0045 1575
I0963 6950
I0802 5163
I0800 5164
I0551 5163
I0409 7210
I0411 7107
I0405 5700
I0174 7558
I0979 1125
I0977 990
I0976 900
I0978 865
I0115 3815
I0117 4092
I0804 4010
I0803 3977
I0164 3906
I0114 4002
I0971 1250
I0969 685
I0968 865
I0972 765
I0964 540
I0965 555
I0967 765
I0966 765
I1060 3825
I1062 3825
I1065 3825
I1022 3825
I1088 3825
I1084 3825
I1082 3825
I1055 3825
I1018 3825
I1017 3787
I1019 3825
I1086 3825
I1090 3825
I1024 3825
I1063 3825
I1058 3769
I1029 3830
I1020 3841
I1028 3704
I1064 3739
I1089 3825
I1054 3765
I1053 3785
I1027 3833
I1056 3750
I1057 3814
I0022 7125
I0026 7125
I0013 7722
I0011 7564
I0015 7710
I0012 7598
I0014 7686
I0017 7624
I1748 7180
I0309 7650
I1357 925
I1484 815
I1743 495
I1744 605
I1400 605
I0238 8450
I1479 550
I1396 590
I1358 735
I1485 1060
I1742 1125
I1356 600
I0447 6700
I0449 6700
I1388 4198
I1382 4195
I1381 4250
I1391 4179
I1389 4361
I1390 4331
I0644 5950
I1180 5950
I1177 5950
I1155 5950
I1181 5950
I1172 5950
I1187 5950
I1171 5950
I1164 5950
I1184 5950
I1179 5950
I1182 5950
I1170 5950
I1168 5950
I1152 5950
I1178 5950
I1123 315
I1124 230
I1128 405
I1129 395
I1125 575
I1127 435
I1118 315
I0721 2070
I0712 1065
I0719 505
I1508 7591
I1500 7058
I1100 8300
I1102 8300
I1099 8300
I1103 8300
I1101 8300
I1097 8282
I0744 8270
I1096 8300
I1098 8282
I0708 8101
I0745 8243
I0746 7928
I0707 8096
I0709 8085
I0725 7950
I0736 8300
I1634 6156
I1632 6076
I1631 6099
I1635 4476
I1633 4465
I1658 5162
I1656 3397
I0633 7424
I0634 6560
I1131 6482
I1499 7077
I1409 6047
I1407 5875
I1502 4026
I1290 9806
I1497 5019
I1495 6367
I1498 7094
I1705 4029
I1706 4345
I1679 8800
I1507 7661
I1504 2858
I1506 7146
I1496 7040
I0676 7792
I1505 7057
I1736 8110
I1734 8100
I1738 7348
I1732 7218
I1709 10050
I1727 10050
I1710 9565
I1707 9569
I1704 9159
I1730 4356
I1699 8700
I1670 6690
I1662 6677
I1674 5831
I1665 5819
I1671 7686
I1193 6832
I1190 6675
I1196 7058
I1197 6804
I1198 6872
I1202 2850
MA1 24320
AfontovaGora2 16767
Inuk 3885
LateDorset-XIV-H_126 800
MARC1491 1550
MARC481 1550
XIV_C_748 600
Kostenki14 38052
I1502 4026
I1504 2858
I1497 5019
I1503 2849
I1507 7661
I1508 7591
I1506 7146
I1498 7094
I1499 7077
I1505 7057
I1500 7058
I1495 6367
Botocudo15.SG 309
Bot17 281
StoraForvar11 7365
Ajvide52 4700
Ajvide53 4700
Ajvide58 4700
Ajvide59 4700
Ajvide70 4700
Gokhem2 4928
